Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System277,Planet2,408.82,408.82,0.14,0.75,86.49,Y,No
System277,Planet3,129.26,129.26,0.22,0.76,-3.72,N,No
System278,Planet1,1238.45,1238.45,0.25,0.32,72.28,Y,No
System278,Planet2,806.3,806.3,0.22,0.77,15.95,N,No
System278,Planet3,937.24,937.24,0.24,0.4,24.43,Y,No
System279,Planet1,683.29,683.29,0.17,0.44,21.73,Y,No
System279,Planet2,1361.32,1361.32,0.3,0.64,27.3,Y,No
System279,Planet3,1237.13,1237.13,0.19,0.39,-27.35,Y,No
System280,Planet1,1333.1,1333.1,0.19,0.36,14.55,Y,No
System280,Planet2,1248.47,1248.47,0.24,0.38,86.41,Y,No
System280,Planet3,124.33,124.33,0.12,0.53,4.6,Y,No
System281,Planet1,311.88,311.88,0.19,0.75,-27.79,Y,No
System281,Planet2,523.67,523.67,0.14,0.66,40.34,N,No
System281,Planet3,613.24,613.24,0.21,0.74,79.03,Y,No
System282,Planet1,1449.66,1449.66,0.23,0.57,96.6,Y,No
System282,Planet2,994.55,994.55,0.11,0.73,77.61,Y,No
System282,Planet3,1081.85,1081.85,0.27,0.49,36.49,Y,No
System283,Planet1,35.68,35.68,0.14,0.36,77.18,Y,No
System283,Planet2,1146.29,1146.29,0.22,0.45,55.51,Y,No
System283,Planet3,1479.77,1479.77,0.27,0.45,6.74,N,No
System284,Planet1,1189.44,1189.44,0.2,0.65,31.9,Y,No
System284,Planet2,701.4,701.4,0.28,0.76,59.63,N,No
System284,Planet3,530.36,530.36,0.26,0.51,66.67,Y,No
System285,Planet1,764.57,764.57,0.17,0.59,4.74,N,No
System285,Planet2,829.73,829.73,0.15,0.68,9.05,Y,No
System285,Planet3,108.74,108.74,0.1,0.31,-7.74,N,No
System286,Planet1,1037.24,1037.24,0.3,0.67,9.07,N,No
System286,Planet2,627.76,627.76,0.18,0.65,87.03,Y,No
System286,Planet3,364.72,364.72,0.22,0.31,4.89,Y,No
System287,Planet1,1237.62,1237.62,0.14,0.37,59.33,N,No
System287,Planet2,648.92,648.92,0.19,0.4,-28.88,N,No
System287,Planet3,437.88,437.88,0.27,0.41,33.62,N,No
System288,Planet1,1035.3,1035.3,0.23,0.42,13.84,N,No
System288,Planet2,879.3,879.3,0.27,0.51,42.77,N,No
System288,Planet3,269.47,269.47,0.22,0.35,-6.74,Y,No
System289,Planet1,303.02,303.02,0.11,0.78,21.2,N,No
System289,Planet2,46.82,46.82,0.11,0.39,38.26,Y,No
System289,Planet3,1209.6,1209.6,0.25,0.76,45.25,N,No
System290,Planet1,483.68,483.68,0.23,0.39,-13.33,Y,No
System290,Planet2,20.51,20.51,0.12,0.66,-11.56,N,No
System290,Planet3,1285.34,1285.34,0.28,0.41,-7.27,Y,No
System291,Planet1,292.87,292.87,0.25,0.64,36.73,Y,No
System291,Planet2,890.44,890.44,0.13,0.4,88.86,N,No
System291,Planet3,560.19,560.19,0.12,0.37,92.23,Y,No
System292,Planet1,548.29,548.29,0.29,0.58,32.52,Y,No
System292,Planet2,1079.33,1079.33,0.24,0.41,-24.55,Y,No
System292,Planet3,1113.4,1113.4,0.22,0.78,92.8,Y,No
System293,Planet1,1024.31,1024.31,0.14,0.57,-5.1,Y,No
System293,Planet2,1211.07,1211.07,0.29,0.42,35.82,N,No
System293,Planet3,1234.68,1234.68,0.12,0.72,57.57,N,No
System294,Planet1,538.75,538.75,0.16,0.46,48.1,N,No
System294,Planet2,479.58,479.58,0.2,0.62,44.98,Y,No
System294,Planet3,742.26,742.26,0.13,0.74,10.18,Y,No
System295,Planet1,828.41,828.41,0.2,0.46,40.07,N,No
System295,Planet2,655.82,655.82,0.18,0.52,23.94,Y,No
System295,Planet3,1024.37,1024.37,0.15,0.72,37.4,N,No
System296,Planet1,715.77,715.77,0.29,0.75,30.75,N,No
System296,Planet2,329.71,329.71,0.23,0.33,81.28,N,No
System296,Planet3,587.95,587.95,0.25,0.53,16.85,Y,No
System297,Planet1,868.38,868.38,0.29,0.65,38.18,N,No
System297,Planet2,484.88,484.88,0.13,0.43,91.4,N,No
System297,Planet3,723.05,723.05,0.14,0.63,-12.18,N,No
System298,Planet1,1207.2,1207.2,0.22,0.3,95.06,N,No
System298,Planet2,814.01,814.01,0.19,0.39,78.45,N,No
System298,Planet3,97.11,97.11,0.27,0.58,7.34,Y,No
System299,Planet1,1131.22,1131.22,0.26,0.59,63.67,Y,No
System299,Planet2,612.89,612.89,0.2,0.44,-23.33,N,No
System299,Planet3,1036.46,1036.46,0.27,0.43,-20.43,N,No
System300,Planet1,1058.02,1058.02,0.16,0.31,52.44,N,No
System300,Planet2,482.08,482.08,0.19,0.66,-7.22,Y,No
System300,Planet3,1479.64,1479.64,0.26,0.62,19.57,Y,No
System301,Planet1,277.2,277.2,0.21,0.66,-16.31,Y,No
System301,Planet2,1188.64,1188.64,0.3,0.68,35.86,N,No
System301,Planet3,1084.05,1084.05,0.28,0.76,58.19,Y,No
System302,Planet1,235.14,235.14,0.26,0.63,49.17,Y,No
System302,Planet2,957.72,957.72,0.29,0.63,-15.51,N,No
System302,Planet3,486.77,486.77,0.28,0.77,14.12,N,No
System303,Planet1,454.73,454.73,0.29,0.61,25.75,Y,No
System303,Planet2,257.2,257.2,0.16,0.47,39.49,N,No
System303,Planet3,470.3,470.3,0.15,0.72,95.9,N,No
System304,Planet1,1327.03,1327.03,0.29,0.66,22.24,Y,No
System304,Planet2,1028.64,1028.64,0.17,0.44,63.75,N,No
System304,Planet3,200.15,200.15,0.3,0.51,62.81,N,No
System305,Planet1,520.73,520.73,0.11,0.54,77.79,Y,No
System305,Planet2,771.41,771.41,0.11,0.66,8.69,Y,No
System305,Planet3,895.53,895.53,0.11,0.6,43.95,N,No
System306,Planet1,342.29,342.29,0.12,0.55,-2.04,Y,No
System306,Planet2,1475.33,1475.33,0.25,0.57,-24.67,Y,No
System306,Planet3,1062.37,1062.37,0.25,0.65,31.73,Y,No
System307,Planet1,260.82,260.82,0.25,0.4,27.96,N,No
System307,Planet2,504.17,504.17,0.12,0.34,22.54,Y,No
System307,Planet3,210.21,210.21,0.23,0.65,-12.0,Y,No
System308,Planet1,294.16,294.16,0.15,0.6,-27.19,Y,No
System308,Planet2,1120.35,1120.35,0.23,0.49,58.64,Y,No
System308,Planet3,1369.47,1369.47,0.13,0.55,81.15,Y,No
System309,Planet1,344.77,344.77,0.11,0.32,74.21,N,No
System309,Planet2,734.93,734.93,0.21,0.54,14.3,N,No
System309,Planet3,350.71,350.71,0.25,0.61,75.55,N,No
System310,Planet1,425.54,425.54,0.14,0.31,99.03,Y,No
System310,Planet2,372.41,372.41,0.16,0.52,-25.71,Y,No
System310,Planet3,40.69,40.69,0.24,0.64,20.8,N,No
System311,Planet1,1407.5,1407.5,0.3,0.38,-4.24,N,No
System311,Planet2,562.51,562.51,0.27,0.73,78.98,Y,No
System311,Planet3,493.8,493.8,0.18,0.78,62.14,N,No
System312,Planet1,441.68,441.68,0.14,0.38,25.74,N,No
System312,Planet2,458.5,458.5,0.1,0.45,-12.78,N,No
System312,Planet3,1165.37,1165.37,0.26,0.65,94.62,Y,No
System313,Planet1,866.06,866.06,0.21,0.78,84.25,N,No
System313,Planet2,1187.65,1187.65,0.14,0.49,57.92,N,No
System313,Planet3,644.01,644.01,0.24,0.72,78.13,N,No
System314,Planet1,1428.43,1428.43,0.18,0.3,16.45,Y,No
System314,Planet2,1494.66,1494.66,0.25,0.7,25.32,N,No
System314,Planet3,116.39,116.39,0.14,0.59,76.1,N,No
System315,Planet1,1482.78,1482.78,0.14,0.31,14.31,N,No
System315,Planet2,874.22,874.22,0.3,0.8,15.88,Y,No
System315,Planet3,377.21,377.21,0.17,0.32,8.43,Y,No
System316,Planet1,1003.93,1003.93,0.26,0.41,13.11,Y,No
System316,Planet2,1098.98,1098.98,0.2,0.33,72.72,N,No
System316,Planet3,125.72,125.72,0.25,0.52,25.0,N,No
System317,Planet1,429.84,429.84,0.28,0.45,-11.87,N,No
System317,Planet2,250.96,250.96,0.24,0.33,76.42,Y,No
System317,Planet3,729.49,729.49,0.2,0.38,4.15,N,No
System318,Planet1,1209.25,1209.25,0.29,0.68,95.11,N,No
System318,Planet2,642.01,642.01,0.15,0.75,16.0,N,No
System318,Planet3,638.03,638.03,0.13,0.39,29.27,N,No
System319,Planet1,1015.58,1015.58,0.16,0.64,-3.88,N,No
System319,Planet2,801.17,801.17,0.28,0.79,-21.32,N,No
System319,Planet3,1052.2,1052.2,0.13,0.64,91.73,N,No
System320,Planet1,233.05,233.05,0.14,0.65,65.99,Y,No
System320,Planet2,390.1,390.1,0.13,0.4,67.68,Y,No
System320,Planet3,494.25,494.25,0.15,0.77,9.37,Y,No
System321,Planet1,1375.44,1375.44,0.15,0.31,72.31,N,No
System321,Planet2,1069.55,1069.55,0.27,0.5,41.3,N,No
System321,Planet3,589.21,589.21,0.23,0.64,82.56,N,No
System322,Planet1,646.18,646.18,0.16,0.55,-24.46,Y,No
System322,Planet2,870.95,870.95,0.22,0.38,94.32,N,No
System322,Planet3,102.01,102.01,0.18,0.5,5.14,N,No
System323,Planet1,303.53,303.53,0.23,0.45,36.89,Y,No
System323,Planet2,657.01,657.01,0.17,0.46,-28.77,N,No
System323,Planet3,243.47,243.47,0.19,0.73,28.78,N,No
System324,Planet1,218.32,218.32,0.11,0.48,-10.56,N,No
System324,Planet2,190.58,190.58,0.29,0.59,70.08,N,No
System324,Planet3,548.54,548.54,0.25,0.75,3.25,N,No
System325,Planet1,185.86,185.86,0.17,0.46,51.86,Y,No
System325,Planet2,162.02,162.02,0.22,0.54,86.65,Y,No
System325,Planet3,474.18,474.18,0.26,0.77,6.09,Y,No
System326,Planet1,85.73,85.73,0.18,0.45,76.21,N,No
System326,Planet2,1219.52,1219.52,0.23,0.41,43.06,N,No
System326,Planet3,114.72,114.72,0.19,0.38,79.07,N,No
System327,Planet1,932.33,932.33,0.23,0.7,81.94,Y,No
System327,Planet2,416.88,416.88,0.16,0.74,47.94,Y,No
System327,Planet3,1336.05,1336.05,0.26,0.39,-29.17,N,No
System328,Planet1,606.27,606.27,0.22,0.36,-26.71,Y,No
System328,Planet2,547.88,547.88,0.16,0.49,-14.99,N,No
System328,Planet3,1011.83,1011.83,0.19,0.6,-3.76,Y,No
System329,Planet1,1469.29,1469.29,0.27,0.55,43.68,Y,No
System329,Planet2,999.82,999.82,0.18,0.52,19.52,Y,No
System329,Planet3,1492.77,1492.77,0.12,0.44,-1.32,N,No
System330,Planet1,1062.99,1062.99,0.23,0.52,89.28,N,No
System330,Planet2,135.96,135.96,0.12,0.66,68.28,Y,No
System330,Planet3,76.92,76.92,0.1,0.42,69.85,N,No
System331,Planet1,1005.6,1005.6,0.27,0.52,17.46,Y,No
System331,Planet2,1211.05,1211.05,0.12,0.64,59.52,Y,No
System331,Planet3,1466.52,1466.52,0.14,0.55,38.35,Y,No
System332,Planet1,688.83,688.83,0.11,0.53,71.92,Y,No
System332,Planet2,1048.47,1048.47,0.15,0.52,12.15,Y,No
System332,Planet3,899.15,899.15,0.19,0.47,35.9,Y,No
System333,Planet1,478.58,478.58,0.29,0.34,-4.6,Y,No
System333,Planet2,775.23,775.23,0.16,0.5,-26.6,N,No
System333,Planet3,558.55,558.55,0.2,0.69,-1.02,Y,No
System334,Planet1,1095.58,1095.58,0.12,0.77,50.84,N,No
System334,Planet2,672.72,672.72,0.28,0.38,31.97,N,No
System334,Planet3,824.74,824.74,0.18,0.36,68.6,N,No
System335,Planet1,1383.61,1383.61,0.19,0.52,14.31,Y,No
System335,Planet2,402.87,402.87,0.13,0.48,19.0,Y,No
System335,Planet3,471.29,471.29,0.21,0.56,22.15,N,No
System336,Planet1,840.86,840.86,0.22,0.44,54.2,Y,No
System336,Planet2,1272.65,1272.65,0.27,0.49,48.48,N,No
System336,Planet3,859.32,859.32,0.28,0.55,10.57,N,No
System337,Planet1,1420.46,1420.46,0.17,0.4,18.16,N,No
System337,Planet2,89.52,89.52,0.12,0.52,92.02,N,No
System337,Planet3,278.92,278.92,0.26,0.62,30.29,Y,No
System338,Planet1,132.56,132.56,0.3,0.73,39.44,Y,No
System338,Planet2,381.98,381.98,0.19,0.72,92.49,N,No
System338,Planet3,749.72,749.72,0.2,0.61,72.58,N,No
System339,Planet1,719.51,719.51,0.29,0.56,70.92,N,No
System339,Planet2,869.39,869.39,0.25,0.57,1.77,Y,No
System339,Planet3,353.45,353.45,0.21,0.38,-22.31,N,No
System340,Planet1,462.11,462.11,0.22,0.72,99.91,N,No
System340,Planet2,105.22,105.22,0.19,0.74,-27.32,Y,No
System340,Planet3,397.78,397.78,0.13,0.53,-3.7,Y,No
System341,Planet1,564.59,564.59,0.11,0.41,-19.35,Y,No
System341,Planet2,340.03,340.03,0.27,0.77,77.02,Y,No
System341,Planet3,531.26,531.26,0.26,0.58,-3.2,N,No
System342,Planet1,1280.04,1280.04,0.3,0.77,51.54,Y,No
System342,Planet2,372.72,372.72,0.12,0.35,36.58,Y,No
System342,Planet3,1069.04,1069.04,0.16,0.74,-10.77,N,No
System343,Planet1,631.35,631.35,0.16,0.45,-29.91,N,No
System343,Planet2,1161.47,1161.47,0.29,0.76,59.26,N,No
System343,Planet3,1227.44,1227.44,0.14,0.8,62.82,Y,No
System344,Planet1,1154.66,1154.66,0.22,0.72,21.02,N,No
System344,Planet2,1035.32,1035.32,0.27,0.47,47.48,Y,No
System344,Planet3,917.77,917.77,0.28,0.63,63.64,N,No
System345,Planet1,830.35,830.35,0.2,0.52,0.24,N,No
System345,Planet2,660.17,660.17,0.3,0.61,20.18,N,No
System345,Planet3,804.27,804.27,0.2,0.61,77.33,N,No
System346,Planet1,231.61,231.61,0.24,0.75,17.99,N,No
System346,Planet2,1374.39,1374.39,0.27,0.39,67.54,Y,No
System346,Planet3,701.46,701.46,0.19,0.75,51.4,N,No
System347,Planet1,432.74,432.74,0.18,0.41,33.34,Y,No
System347,Planet2,1044.94,1044.94,0.25,0.41,51.71,N,No
System347,Planet3,109.28,109.28,0.28,0.66,39.19,Y,No
System348,Planet1,1391.24,1391.24,0.23,0.56,-19.38,Y,No
System348,Planet2,1320.12,1320.12,0.16,0.58,3.47,Y,No
System348,Planet3,540.91,540.91,0.28,0.38,15.78,Y,No
System349,Planet1,1160.31,1160.31,0.17,0.31,-25.7,Y,No
System349,Planet2,397.93,397.93,0.13,0.52,-6.72,N,No
System349,Planet3,21.53,21.53,0.2,0.73,78.45,N,No
System350,Planet1,535.48,535.48,0.14,0.78,47.93,Y,No
System350,Planet2,1462.72,1462.72,0.27,0.37,-2.89,Y,No
System350,Planet3,295.3,295.3,0.15,0.48,37.84,Y,No
System351,Planet1,1329.08,1329.08,0.2,0.8,10.87,N,No
System351,Planet2,711.55,711.55,0.21,0.59,-20.06,Y,No
System351,Planet3,95.13,95.13,0.24,0.4,-11.25,N,No
System352,Planet1,181.41,181.41,0.2,0.33,-15.87,Y,No
System352,Planet2,97.89,97.89,0.13,0.35,83.89,Y,No
System352,Planet3,1335.75,1335.75,0.11,0.48,12.18,N,No
System353,Planet1,1469.94,1469.94,0.28,0.36,2.15,N,No
System353,Planet2,995.44,995.44,0.11,0.65,-16.91,Y,No
System353,Planet3,385.7,385.7,0.26,0.44,99.29,N,No
System354,Planet1,172.95,172.95,0.21,0.31,53.4,N,No
System354,Planet2,318.84,318.84,0.21,0.35,-14.56,N,No
System354,Planet3,523.42,523.42,0.15,0.36,35.05,N,No
System355,Planet1,1253.0,1253.0,0.25,0.66,-13.36,Y,No
System355,Planet2,1476.67,1476.67,0.27,0.54,57.05,Y,No
System355,Planet3,678.9,678.9,0.26,0.39,90.09,N,No
System356,Planet1,89.05,89.05,0.15,0.58,-26.26,N,No
System356,Planet2,1289.86,1289.86,0.29,0.53,3.64,N,No
System356,Planet3,510.6,510.6,0.24,0.75,96.93,Y,No
System357,Planet1,1204.8,1204.8,0.28,0.62,33.35,N,No
System357,Planet2,277.69,277.69,0.3,0.47,58.41,Y,No
System357,Planet3,1283.35,1283.35,0.3,0.45,27.07,Y,No
System358,Planet1,748.82,748.82,0.17,0.3,1.2,Y,No
System358,Planet2,552.17,552.17,0.27,0.59,-16.13,Y,No
System358,Planet3,355.94,355.94,0.18,0.63,79.52,N,No
System359,Planet1,900.38,900.38,0.23,0.53,41.0,N,No
System359,Planet2,606.63,606.63,0.15,0.4,66.8,Y,No
System359,Planet3,900.28,900.28,0.25,0.5,93.52,Y,No
System360,Planet1,583.39,583.39,0.14,0.33,49.26,N,No
System360,Planet2,797.39,797.39,0.18,0.56,-25.78,N,No
System360,Planet3,851.29,851.29,0.12,0.66,62.21,N,No
System361,Planet1,70.26,70.26,0.14,0.5,-28.7,Y,No
System361,Planet2,601.52,601.52,0.11,0.73,38.18,N,No
System361,Planet3,561.04,561.04,0.19,0.68,29.77,N,No
System362,Planet1,529.3,529.3,0.17,0.77,-5.29,N,No
System362,Planet2,789.89,789.89,0.28,0.4,30.7,N,No
System362,Planet3,853.22,853.22,0.13,0.33,7.61,N,No
System363,Planet1,1463.96,1463.96,0.13,0.3,12.06,Y,No
System363,Planet2,1056.45,1056.45,0.15,0.72,98.8,N,No
System363,Planet3,1021.52,1021.52,0.18,0.39,96.68,Y,No
System364,Planet1,326.26,326.26,0.21,0.61,89.36,N,No
System364,Planet2,1041.54,1041.54,0.15,0.46,68.52,N,No
System364,Planet3,1463.84,1463.84,0.25,0.35,-16.72,N,No
System365,Planet1,172.04,172.04,0.19,0.47,86.0,N,No
System365,Planet2,1283.75,1283.75,0.16,0.61,51.4,N,No
System365,Planet3,1238.07,1238.07,0.2,0.61,20.31,Y,No
System366,Planet1,916.17,916.17,0.16,0.54,22.6,Y,No
System366,Planet2,355.02,355.02,0.23,0.35,50.57,Y,No
System366,Planet3,639.33,639.33,0.18,0.73,68.37,Y,No
System367,Planet1,155.22,155.22,0.16,0.63,11.43,Y,No
System367,Planet2,423.93,423.93,0.19,0.57,-24.29,N,No
System367,Planet3,309.76,309.76,0.23,0.48,98.34,N,No
System368,Planet1,256.07,256.07,0.26,0.51,87.7,N,No
System368,Planet2,988.68,988.68,0.11,0.76,-14.41,Y,No
System368,Planet3,1471.13,1471.13,0.28,0.61,87.97,Y,No
System369,Planet1,27.68,27.68,0.11,0.77,90.66,Y,No
System369,Planet2,444.02,444.02,0.16,0.45,41.05,N,No
System369,Planet3,145.15,145.15,0.29,0.76,38.9,Y,No
System370,Planet1,937.89,937.89,0.16,0.59,29.35,Y,No
System370,Planet2,140.14,140.14,0.19,0.61,5.56,N,No
System370,Planet3,328.13,328.13,0.23,0.52,49.89,N,No
System371,Planet1,1209.28,1209.28,0.28,0.68,12.93,N,No
System371,Planet2,572.0,572.0,0.27,0.56,20.02,Y,No
System371,Planet3,323.12,323.12,0.23,0.32,33.29,Y,No
System372,Planet1,603.04,603.04,0.11,0.75,94.21,N,No
System372,Planet2,1471.32,1471.32,0.2,0.57,57.76,N,No
System372,Planet3,683.06,683.06,0.28,0.52,98.14,N,No
System373,Planet1,32.81,32.81,0.22,0.34,-14.32,Y,No
System373,Planet2,740.17,740.17,0.17,0.6,15.32,Y,No
System373,Planet3,158.88,158.88,0.29,0.33,-2.58,N,No
System374,Planet1,916.54,916.54,0.11,0.54,80.26,N,No
System374,Planet2,546.02,546.02,0.23,0.34,-12.53,Y,No
System374,Planet3,618.09,618.09,0.25,0.45,44.49,Y,No
System375,Planet1,49.88,49.88,0.13,0.65,51.66,N,No
System375,Planet2,395.12,395.12,0.15,0.6,14.43,Y,No
System375,Planet3,321.17,321.17,0.24,0.68,26.12,N,No
System376,Planet1,29.78,29.78,0.13,0.42,-9.17,N,No
System376,Planet2,185.27,185.27,0.13,0.39,6.34,Y,No
System376,Planet3,608.62,608.62,0.3,0.53,44.01,Y,No
System377,Planet1,608.34,608.34,0.2,0.51,92.2,N,No
System377,Planet2,612.64,612.64,0.22,0.59,36.15,Y,No
System377,Planet3,587.4,587.4,0.26,0.46,3.62,N,No
System378,Planet1,840.17,840.17,0.18,0.45,84.71,Y,No
System378,Planet2,408.11,408.11,0.26,0.5,-28.87,Y,No
System378,Planet3,1262.3,1262.3,0.26,0.5,30.0,N,No
System379,Planet1,1441.91,1441.91,0.27,0.33,-15.69,Y,No
System379,Planet2,1167.15,1167.15,0.27,0.34,5.19,Y,No
System379,Planet3,342.47,342.47,0.27,0.36,54.73,Y,No
System380,Planet1,375.93,375.93,0.19,0.56,28.69,N,No
System380,Planet2,324.8,324.8,0.21,0.57,-13.2,N,No
System380,Planet3,916.62,916.62,0.26,0.58,94.19,Y,No
System381,Planet1,531.15,531.15,0.14,0.42,-1.94,Y,No
System381,Planet2,1086.86,1086.86,0.12,0.71,99.39,N,No
System381,Planet3,1054.5,1054.5,0.13,0.36,-28.01,N,No
System382,Planet1,543.22,543.22,0.19,0.79,68.85,N,No
System382,Planet2,691.37,691.37,0.29,0.62,23.07,N,No
System382,Planet3,679.01,679.01,0.27,0.53,53.26,N,No
System383,Planet1,1258.44,1258.44,0.16,0.36,-0.43,N,No
System383,Planet2,1178.47,1178.47,0.26,0.49,58.47,Y,No
System383,Planet3,412.61,412.61,0.12,0.6,79.07,N,No
System384,Planet1,1450.06,1450.06,0.22,0.63,33.35,N,No
System384,Planet2,994.16,994.16,0.19,0.31,-6.55,N,No
System384,Planet3,64.33,64.33,0.26,0.53,-16.93,Y,No
System385,Planet1,637.78,637.78,0.22,0.49,-11.11,N,No
System385,Planet2,1402.09,1402.09,0.18,0.38,60.92,N,No
System385,Planet3,1002.33,1002.33,0.15,0.78,55.52,N,No
System386,Planet1,259.07,259.07,0.29,0.36,-21.64,Y,No
System386,Planet2,819.4,819.4,0.18,0.39,-12.47,N,No
System386,Planet3,1176.06,1176.06,0.28,0.77,64.47,N,No
System387,Planet1,1126.27,1126.27,0.16,0.78,-17.11,N,No
System387,Planet2,1357.23,1357.23,0.26,0.37,61.45,Y,No
System387,Planet3,1076.14,1076.14,0.18,0.63,13.61,N,No
System388,Planet1,597.42,597.42,0.22,0.68,42.11,N,No
System388,Planet2,738.16,738.16,0.24,0.47,-11.1,N,No
System388,Planet3,1015.37,1015.37,0.1,0.76,75.93,N,No
System389,Planet1,1022.78,1022.78,0.18,0.61,-5.68,N,No
System389,Planet2,1050.1,1050.1,0.21,0.68,9.14,N,No
System389,Planet3,938.48,938.48,0.2,0.53,86.71,Y,No
System390,Planet1,290.78,290.78,0.25,0.51,63.99,N,No
System390,Planet2,684.41,684.41,0.18,0.59,56.11,Y,No
System390,Planet3,1067.37,1067.37,0.17,0.79,-0.67,Y,No
System391,Planet1,339.51,339.51,0.13,0.45,26.72,Y,No
System391,Planet2,99.7,99.7,0.25,0.74,83.71,N,No
System391,Planet3,899.94,899.94,0.15,0.65,65.6,Y,No
System392,Planet1,396.49,396.49,0.2,0.57,43.16,N,No
System392,Planet2,1331.65,1331.65,0.29,0.59,69.8,Y,No
System392,Planet3,556.25,556.25,0.28,0.64,24.39,Y,No
System393,Planet1,440.79,440.79,0.27,0.73,76.31,N,No
System393,Planet2,356.28,356.28,0.13,0.63,-28.18,Y,No
System393,Planet3,910.52,910.52,0.14,0.75,-6.15,Y,No
System394,Planet1,209.98,209.98,0.28,0.74,51.05,Y,No
System394,Planet2,1158.43,1158.43,0.24,0.65,-7.26,N,No
System394,Planet3,1024.31,1024.31,0.28,0.63,96.16,N,No
System395,Planet1,550.5,550.5,0.29,0.34,57.68,Y,No
System395,Planet2,1401.94,1401.94,0.12,0.51,-22.26,N,No
System395,Planet3,786.17,786.17,0.29,0.56,-4.2,Y,No
System396,Planet1,927.67,927.67,0.22,0.79,14.98,N,No
System396,Planet2,1.01,1.01,0.23,0.46,95.21,Y,No
System396,Planet3,717.39,717.39,0.11,0.33,66.61,Y,No
System397,Planet1,82.83,82.83,0.14,0.79,65.35,N,No
System397,Planet2,964.18,964.18,0.29,0.56,-13.27,N,No
System397,Planet3,1268.99,1268.99,0.22,0.33,75.58,N,No
System398,Planet1,804.87,804.87,0.13,0.6,7.08,Y,No
System398,Planet2,57.92,57.92,0.29,0.57,66.95,N,No
System398,Planet3,704.74,704.74,0.25,0.57,73.01,N,No
System399,Planet1,163.21,163.21,0.15,0.61,60.72,N,No
System399,Planet2,1347.15,1347.15,0.22,0.6,-6.04,Y,No
System399,Planet3,20.97,20.97,0.25,0.37,74.11,N,No
System400,Planet1,587.48,587.48,0.27,0.32,80.78,Y,No
System400,Planet2,1465.3,1465.3,0.14,0.63,-17.26,N,No
System400,Planet3,990.68,990.68,0.16,0.37,98.0,Y,No
System401,Planet1,686.16,686.16,0.28,0.38,-12.98,N,No
System401,Planet2,610.64,610.64,0.12,0.7,-12.99,Y,No
System401,Planet3,927.37,927.37,0.28,0.46,84.41,Y,No
System402,Planet1,1219.84,1219.84,0.1,0.45,68.34,Y,No
System402,Planet2,1210.92,1210.92,0.29,0.64,-2.01,N,No
System402,Planet3,220.62,220.62,0.27,0.64,-29.8,Y,No
System403,Planet1,771.51,771.51,0.24,0.63,61.62,Y,No
System403,Planet2,878.25,878.25,0.28,0.53,58.08,N,No
System403,Planet3,1164.31,1164.31,0.26,0.67,-10.04,Y,No
System404,Planet1,1287.04,1287.04,0.27,0.42,83.6,Y,No
System404,Planet2,718.55,718.55,0.22,0.55,1.89,Y,No
System404,Planet3,521.28,521.28,0.26,0.77,42.32,Y,No
System405,Planet1,412.7,412.7,0.11,0.79,69.46,Y,No
System405,Planet2,633.91,633.91,0.3,0.68,4.76,N,No
System405,Planet3,987.98,987.98,0.26,0.66,63.25,N,No
System406,Planet1,686.78,686.78,0.28,0.52,30.3,Y,No
System406,Planet2,91.2,91.2,0.29,0.75,-20.03,Y,No
System406,Planet3,879.94,879.94,0.26,0.4,92.73,Y,No
System407,Planet1,98.77,98.77,0.15,0.79,31.91,Y,No
System407,Planet2,221.7,221.7,0.22,0.72,53.89,N,No
System407,Planet3,717.52,717.52,0.26,0.4,52.9,N,No
System408,Planet1,1097.97,1097.97,0.22,0.73,33.14,Y,No
System408,Planet2,1243.41,1243.41,0.25,0.41,11.16,N,No
System408,Planet3,1464.37,1464.37,0.22,0.44,56.58,N,No
System409,Planet1,1197.62,1197.62,0.21,0.71,21.6,Y,No
System409,Planet2,70.13,70.13,0.13,0.5,-9.99,N,No
System409,Planet3,406.24,406.24,0.22,0.5,-22.12,N,No
System410,Planet1,172.57,172.57,0.23,0.53,60.78,N,No
System410,Planet2,815.97,815.97,0.27,0.3,-24.73,Y,No
System410,Planet3,1092.2,1092.2,0.26,0.57,71.8,Y,No
System411,Planet1,119.65,119.65,0.22,0.48,52.84,N,No
System411,Planet2,832.6,832.6,0.23,0.72,-12.84,N,No
System411,Planet3,536.74,536.74,0.25,0.7,20.74,Y,No
System412,Planet1,1432.98,1432.98,0.27,0.78,67.24,Y,No
System412,Planet2,664.72,664.72,0.2,0.37,68.65,Y,No
System412,Planet3,294.69,294.69,0.12,0.73,29.31,N,No
System413,Planet1,15.08,15.08,0.11,0.46,72.01,Y,No
System413,Planet2,1053.17,1053.17,0.12,0.66,96.11,Y,No
System413,Planet3,979.02,979.02,0.2,0.52,-13.33,Y,No
System414,Planet1,2.53,2.53,0.11,0.63,63.44,Y,No
System414,Planet2,1186.43,1186.43,0.12,0.66,65.49,N,No
System414,Planet3,926.32,926.32,0.11,0.57,41.94,Y,No
System415,Planet1,139.27,139.27,0.27,0.54,58.97,Y,No
System415,Planet2,1235.23,1235.23,0.1,0.47,51.81,N,No
System415,Planet3,1147.63,1147.63,0.25,0.38,-21.29,N,No
System416,Planet1,56.8,56.8,0.29,0.73,59.04,N,No
